symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
SYSUSDT,-0.00450000,-1.001,0.44474840,0.44910000,0.44490000,582.00000000,0.44440000,5975.00000000,0.44500000,137.00000000,0.44940000,0.46920000,0.42600000,13449628.00000000,5981700.51700000,1637100085129,1637186485129,2131771,2155149,23379
DFUSDT,-0.00100000,-0.585,0.17103855,0.17070000,0.16980000,951.00000000,0.16980000,1365.00000000,0.17050000,2587.00000000,0.17080000,0.17460000,0.16510000,7796423.00000000,1333488.86400000,1637100125803,1637186525803,1105997,1110352,4356
SOLUSDC,-6.32000000,-2.824,215.96266532,223.75000000,217.48000000,0.26000000,216.84000000,1.61000000,217.23000000,18.60000000,223.80000000,225.00000000,209.87000000,18651.83000000,4028098.91990000,1637100125758,1637186525758,257712,265937,8226
ARPARUB,-0.51400000,-3.972,12.65155407,12.93800000,12.42700000,10.00000000,12.41900000,11766.00000000,12.45500000,1763.00000000,12.94100000,13.05000000,12.35100000,1019115.00000000,12893388.52400000,1637100122556,1637186522556,183415,185334,1920
LTCUAH,-205.00000000,-3.240,6134.95212451,6275.00000000,6122.00000000,0.51600000,6109.00000000,2.01000000,6122.00000000,17.10200000,6327.00000000,6343.00000000,5876.00000000,477.78100000,2931163.56100000,1637100122049,1637186522049,24050,24468,419
FETBUSD,0.02750000,3.543,0.76546790,0.77640000,0.80360000,75.00000000,0.80360000,193.00000000,0.80480000,449.00000000,0.77610000,0.80850000,0.72790000,3578664.00000000,2739352.40120000,1637100125685,1637186525685,749946,763309,13364
ARPABUSD,-0.00606000,-3.436,0.17278095,0.17634000,0.17030000,911.90000000,0.16997000,82.20000000,0.17033000,5879.50000000,0.17636000,0.17789000,0.16792000,8779014.50000000,1516846.48925200,1637100125082,1637186525082,2350771,2359645,8875
LSKBUSD,0.05600000,1.705,3.30188941,3.27600000,3.34000000,1.50000000,3.32900000,4.10000000,3.34000000,4.10000000,3.28400000,3.42500000,3.14400000,78106.90000000,257900.34610000,1637100124875,1637186524875,104694,106474,1781
AVAXBIDR,105942.00,7.446,1446502.70,1423501.00,1528660.00,0.01000000,1513688.00,7.10000000,1528660.00,2.77000000,1422718.00,1578286.00,1319130.00,1403.70000000,2030455836.36,1637100123139,1637186523139,31626,32566,941
ALICEBIDR,18528.00,9.926,198995.42,185618.00,205183.00,104.91000000,203323.00,0.16000000,205183.00,0.02000000,186655.00,213018.00,176000.00,18059.32000000,3593721973.07,1637100125491,1637186525491,76012,78359,2348
FIDAUSDT,-0.25700000,-2.932,8.48799856,8.74700000,8.50900000,9.20000000,8.50900000,149.40000000,8.51900000,4.60000000,8.76600000,8.90000000,8.23900000,173969.30000000,1476651.16840000,1637100125039,1637186525039,1132178,1137220,5043
FIDABUSD,-0.26400000,-3.005,8.46590630,8.74900000,8.52200000,93.80000000,8.51900000,1.60000000,8.53200000,1.60000000,8.78600000,8.80200000,8.24200000,41440.90000000,350834.77640000,1637100125429,1637186525429,516843,518975,2133
FIDABNB,-0.00010000,-0.674,0.01470637,0.01484000,0.01473000,120.60000000,0.01473000,98.50000000,0.01475000,10.00000000,0.01483000,0.01514000,0.01445000,16637.40000000,244.67569300,1637100104787,1637186504787,62724,63153,430
FIDABTC,-0.00000350,-2.412,0.00014201,0.00014460,0.00014160,91.70000000,0.00014160,106.80000000,0.00014180,5.10000000,0.00014510,0.00014540,0.00013920,21267.80000000,3.02014160,1637100110330,1637186510330,136804,137346,543
DENTBUSD,-0.00008800,-1.384,0.00617995,0.00636300,0.00627000,64259.00000000,0.00627000,5800.00000000,0.00628000,2230.00000000,0.00635800,0.00638800,0.00589600,375634352.00000000,2321403.04914400,1637100122473,1637186522473,691969,702159,10191
FRONTUSDT,-0.01430000,-1.462,0.96391907,0.97830000,0.96370000,132.00000000,0.96320000,413.00000000,0.96440000,905.00000000,0.97800000,0.98410000,0.94000000,1153972.00000000,1112335.61650000,1637100119874,1637186519874,387886,393308,5423
CVPUSDT,0.00400000,0.258,1.52842733,1.55300000,1.55700000,262.40000000,1.55700000,447.40000000,1.56000000,192.60000000,1.55300000,1.57000000,1.48200000,787046.00000000,1202942.61260000,1637100110728,1637186510728,525614,530304,4691
AGLDBTC,0.00000120,3.157,0.00003861,0.00003801,0.00003921,106.10000000,0.00003915,293.00000000,0.00003922,106.20000000,0.00003801,0.00004024,0.00003755,374804.00000000,14.47194509,1637100123828,1637186523828,201358,203839,2482
AGLDBNB,0.00016600,4.261,0.00403274,0.00390000,0.00406200,123.10000000,0.00407000,223.20000000,0.00407800,106.30000000,0.00389600,0.00420500,0.00385100,120665.30000000,486.61140740,1637100123035,1637186523035,46415,46941,527
AGLDBUSD,0.05100000,2.215,2.32017815,2.29700000,2.35400000,30.60000000,2.35100000,106.30000000,2.35600000,112.20000000,2.30300000,2.40800000,2.20200000,889343.90000000,2063436.28680000,1637100101302,1637186501302,878579,889343,10765
AGLDUSDT,0.05600000,2.438,2.31737267,2.29500000,2.35300000,12.70000000,2.35200000,466.60000000,2.35500000,358.10000000,2.29700000,2.41000000,2.20000000,2315971.20000000,5366968.37370000,1637100107960,1637186507960,1774502,1791095,16594
RADBTC,0.00003770,16.929,0.00024867,0.00022310,0.00026040,2.00000000,0.00025940,450.80000000,0.00026030,2.30000000,0.00022270,0.00027360,0.00022030,234212.60000000,58.24206170,1637100122220,1637186522220,293404,304683,11280
RADBNB,0.00432000,18.939,0.02569885,0.02278000,0.02713000,3.20000000,0.02699000,443.50000000,0.02713000,60.80000000,0.02281000,0.02909000,0.02262000,45503.80000000,1169.39516600,1637100102945,1637186502945,60321,61404,1084
RADBUSD,2.14200000,15.860,14.90303320,13.50500000,15.64800000,23.90000000,15.58800000,0.80000000,15.64800000,40.20000000,13.50600000,16.33200000,13.17500000,339742.80000000,5063198.22680000,1637100113984,1637186513984,1323539,1343427,19889
RADUSDT,2.10100000,15.564,14.92754697,13.49900000,15.60000000,20.60000000,15.58700000,424.90000000,15.62700000,7.70000000,13.49900000,16.30000000,13.16500000,1102134.40000000,16452163.02140000,1637100124806,1637186524806,2307242,2352649,45408
UNIAUD,0.00000000,0.000,0.00000000,34.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1636881094559,1636967494559,-1,-1,0
HIVEBUSD,0.01610000,1.506,1.08652595,1.06890000,1.08500000,1020.00000000,1.08300000,12.00000000,1.08580000,12.00000000,1.06890000,1.19150000,0.97900000,11262853.00000000,12237382.11010000,1637100121726,1637186521726,271238,317159,45922
STPTBUSD,0.02393000,18.195,0.15215785,0.13133000,0.15545000,1141.40000000,0.15501000,90.10000000,0.15547000,2344.60000000,0.13152000,0.17618000,0.12904000,70454209.30000000,10720161.16130300,1637100125793,1637186525793,811174,846591,35418
